premium	name	response_letter_required	city	latitude	longtitude	raw	experience	schedule	employment	skills	has_test	employer	salary_from	salary_to	gross	currency
False	Администратор поддержки веб-сервисов	False	Москва	55.710661	37.443703	Москва, Верейская улица, 17	От 1 года до 3 лет	Полный день	Полная занятость	MySQL_PHP_HTML_CSS_JavaScript_Веб-программирование_Администрирование_ЭДО_CRM_1С-Битрикс_bitrix 24	False	AND RUS	N/A	N/A	N/A	N/A
False	Дизайнер оперативной графики	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	Adobe Photoshop_Adobe Illustrator_Adobe After Effect_Photoshop_Дизайнер	False	RT		140000	True	RUR
False	Слесарь-механик	False	N/A	N/A	N/A	N/A	Нет опыта	Полный день	Полная занятость		False	Люди Дела	50000	100000	False	RUR
False	Токарь-фрезеровщик	False	Санкт-Петербург	59.889015	30.378256	Санкт-Петербург, улица Салова, 53к1	От 3 до 6 лет	Полный день	Полная занятость		False	Альфа Стил	70000		False	RUR
False	Помощник моториста	False	Ставрополь	45.1083375467	41.9994940244	Ставрополь, улица Северный Обход	Нет опыта	Полный день	Полная занятость	Пользователь ПК_Работа в команде_Windows 7_MS Dos	False	Центр Спецтехники	20000		True	RUR
False	Оператор станков с программным управлением	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	Чтение чертежей_Техническая документация	False	Серовский механический завод	60000	120000	False	RUR
False	Специалист технической поддержки пользователей (ИТ)	False	Москва	55.707578	37.6236	Москва, Большая Тульская улица, 17	От 1 года до 3 лет	Полный день	Полная занятость	Сборка ПК_Ремонт ПК_Windows 7_Настройка ПО_Настройка ПК_TCP/IP_Active Directory_Настройка сетевых подключений_Техническое обслуживание_Офисная техника_Пользователь ПК_Настройка DNS	False	Титан11	55000		True	RUR
False	Ведущий разработчик 1С	False	Новосибирск	55.040771	82.930329	Новосибирск, улица Крылова, 36	От 3 до 6 лет	Полный день	Полная занятость	Управление проектами_1С программирование_руководство командой разработчиков	False	NAN Agency	150000	220000	False	RUR
False	Консультант 1С по автоматизации процессов управления экономикой и финансами	False	Санкт-Петербург	59.928866	30.346007	Санкт-Петербург, Владимирский пр. , 17	От 1 года до 3 лет	Полный день	Полная занятость	MS PowerPoint_1С: Предприятие 8_Постановка задач разработчикам_MS Visio_ERP-системы на базе 1С	False	1C-Рарус	90000		True	RUR
False	Инженер-программист	False	Кемерово	55.352127	86.065979	Кемерово, улица Рукавишникова, 1	От 1 года до 3 лет	Полный день	Полная занятость	Должностные инструкции_исполнение поручений руководителя_Антивирусная защита сети_Администрирование_Знание компьютера_Высшее образование	False	ГБУЗ «Кузбасский центр общественного здоровья и медицинской профилактики»	30000		True	RUR
