premium	name	response_letter_required	city	latitude	longtitude	raw	experience	schedule	employment	skills	has_test	employer	salary_from	salary_to	gross	currency
False	Ведущий специалист 3-го разряда отдела информатизации	False	Екатеринбург	56.844968	60.61695	Екатеринбург, Шарташская улица, 4	Нет опыта	Полный день	Полная занятость	Настройка ПК_Настройка ПО_Ремонт ПК_Настройка сетевых подключений_Windows 7	False	Арбитражный суд Свердловской области	40000	49000	False	RUR
False	Специалист по обработке данных (аналитик)/web-аналитик	False	Москва	55.798201	37.495662	Москва, улица Маршала Рыбалко, 2к6	От 1 года до 3 лет	Полный день	Полная занятость	Работа с базами данных_MS Excel_Пользователь ПК_MS SQL_Работа с большим объемом информации_Грамотность_Статистический анализ_Базы данных_Анализ данных_Статистика	False	Медгуру	70000		False	RUR
False	Токарь	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость		False	ПРОФКАДРЫ	92000		False	RUR
False	Инженер-разработчик (тестировщик)	False	Екатеринбург	56.85278	60.660213	Екатеринбург, Кировский район, микрорайон Втузгородок, Студенческая улица, 16	Нет опыта	Полный день	Полная занятость	Программирование микроконтроллеров	False	Карат, НПО	40000		False	RUR
False	Оператор наладчик токарного-фрезерного станка с ЧПУ	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	Точность и внимательность к деталям	False	ПРОМЭКС	80000	110000	False	RUR
False	Тестировщик (QA manual) 1C	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Функциональное тестирование_Atlassian Jira_Scrum_Test case_Креативность_QA	False	Shop&Show	100000		True	RUR
False	Столяр-плотник	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Пользователь ПК_Работа в команде_Умение принимать решения_Аналитические способности_MS Dos	False	ВГТРК (Всероссийская государственная телевизионная и радиовещательная компания)	36350	39330	True	RUR
False	1С программист	False	Москва	55.703271	37.693381	Москва, 2-й Южнопортовый проезд, 16с6	От 1 года до 3 лет	Полный день	Полная занятость		False	ПРАВО-Конструкция	120000		True	RUR
False	Системный администратор	False	Москва	55.695027	37.662812	Москва, проспект Андропова, 18к1	Более 6 лет	Полный день	Полная занятость	Active Directory_Hyper-V_Linux_DHCP_TCP/IP_Настройка DNS_MS SQL_Apache HTTP Server_Техническая поддержка_Windows Os_MS Office_Cisco_SQL_CSS_HTML_VMware_Администрирование серверов Linux_Администрирование серверов Windows_VPN_Nginx_Антивирусная защита сети	False	Спейс Тревел	80000	110000	False	RUR
False	Наладчик технологического оборудования (новый завод по производству морозильного и холодильного обор	False	Набережные Челны	55.731617	52.507804	Набережные Челны, Промышленная улица, 130	От 3 до 6 лет	Полный день	Полная занятость	Ведение документации_Умение работать в команде_Техническая документация_Навыки составления отчетности_Умение планировать	False	ХАЙЕР ИНДАСТРИ РУС	48000		True	RUR
